2022-08-09
	[속보] "서울 폭우로 1명 사망…가로수 정리중 감전 추정" |  | https://www.joongang.co.kr/article/25092910
	금융위원장 "침수차량 위해 자차 보험 신속지급 제도 운영" | 경제>금융_재테크,정치>북한,경제>무역 | http://biz.heraldcorp.com/view.php?ud=20220810000755
	당정 “특별재난지역 선포 적극 검토…대심도 배수시설 설치” | 정치>정치일반 | https://www.donga.com/news/article/all/20220810/114900024/2
	당정 “특별재난지역 적극 검토”·野 “피해 지원 확대” | 정치>국회_정당 | https://news.kbs.co.kr/news/view.do?ncd=5529690&amp;ref=DA
	당정 "특별재난지역 검토"...민주 "생색내기 안 돼" | 정치>국회_정당,정치>선거,정치>청와대 | https://www.ytn.co.kr/_ln/0101_202208101813227371
	당정 “특별재난지역 검토”…野 수해 지역 점검 | 정치>정치일반 | https://news.kbs.co.kr/news/view.do?ncd=5529792&amp;ref=DA
	“특별재난지역 선포” 정치권 한목소리 | 정치>청와대,사회>사회일반 | https://news.kbs.co.kr/news/view.do?ncd=5529949&amp;ref=DA
	“특별재난지역 선포” 정치권 한목소리 | 정치>청와대 | https://news.kbs.co.kr/news/view.do?ncd=5530135&amp;ref=DA
	[현장영상+] 권성동 "야당, 자연재해마저 정치공세 소재로 삼아" | 정치>청와대,정치>행정_자치 | https://www.ytn.co.kr/_ln/0101_202208101437599921
	권성동 “수해 피해 큰 지역은 특별재난지역 선포 요청” | 정치>청와대,정치>국회_정당 | http://biz.heraldcorp.com/view.php?ud=20220810000691
	금융위원장 "침수차량 위해 자차 보험 신속지급 제도 운영" | 경제>금융_재테크,정치>행정_자치,정치>청와대 | http://www.segye.com/content/html/2022/08/10/20220810515170.html
	與, 정부에 "수해 피해 큰 지역에 특별재난지역 선포 요청" | 정치>청와대,정치>행정_자치,정치>국회_정당 | http://www.segye.com/content/html/2022/08/10/20220810515346.html
	당정, 수해 특별재난지역 선포 등 행정력 총동원 | 정치>행정_자치,정치>청와대 | http://www.etnews.com/20220810000189
	당정 “수해 피해지역, 특별재난지역 선포 적극 검토” | 정치>청와대,정치>국회_정당,정치>행정_자치 | https://www.chosun.com/politics/politics_general/2022/08/10/EWZH5NKV55CEZPRIN5MXFTGHHM/?utm_source=bigkinds&utm_medium=original&utm_campaign=news
	금융위원장 “침수 차량에 자차 보험금 신속 지급제도 운용” | 경제>금융_재테크,정치>행정_자치,정치>청와대 | http://www.segye.com/content/html/2022/08/10/20220810515704.html
	당정 "수해 피해지역 특별재난지역 선포 적극 검토할 것" | 지역>경기,지역>전북,지역>충남 | https://view.asiae.co.kr/article/2022081016040332722

	[영상] 오세훈 “10년 전 중단 ‘빗물터널’ 재추진…1조5000억 집중 투자” |  | http://biz.heraldcorp.com/view.php?ud=20220810000725
	[전문] 오세훈 “‘빗물터널’ 재추진…1조5000억 투입” |  | http://biz.heraldcorp.com/view.php?ud=20220810000729
	당정 “수도권 수해 피해지역, 특별재난지역 선포 적극 검토” | 정치>행정_자치,정치>정치일반 | http://www.seoul.co.kr/news/newsView.php?id=20220810500166
	오세훈 "침수대책에 10년간 3조 투입...지하·반지하 '주거용도' 불허" | 지역>지역일반 | http://www.fnnews.com/news/202208101714438407
	오세훈-25개 구청장 '폭우 피해복구' 회의.."신속한 복구 노력" |  | http://news.moneytoday.co.kr/view/mtview.php?no=2022081017531684369&type=2
	강남 빗물터널 재추진… 지하·반지하 '주거용' 허가 중단 | 지역>지역일반 | http://www.fnnews.com/news/202208101800094718

	'국유자산 매각' 타깃 옮긴 野 "죄다 무리하고 설익은 대책뿐" | 정치>국회_정당,정치>청와대,정치>선거 | https://www.joongang.co.kr/article/25093385

	[포토] 수해현장 찾아간 민주당, 당정협의 소집한 국민의힘 | 정치>국회_정당,정치>청와대,정치>행정_자치 | https://view.asiae.co.kr/article/2022081015594981841

	'일가족 3명 참사' 반지하 복구 시작...구조적 문제점 | 사회>사회일반 | https://www.ytn.co.kr/_ln/0103_202208101557094008

	[이앤피] "대통령실 가는 박민영, 청와대 있던 박성민과 설전" | 정치>청와대,정치>국회_정당,정치>선거 | https://www.ytn.co.kr/_ln/0101_202208101601448284
	[나이트포커스] 대통령실, 尹 사과 여부 놓고 '오락가락'? | 정치>청와대,정치>국회_정당 | https://www.ytn.co.kr/_ln/0101_202208102302361195

	최대호 안양시장, 신속 복구 올인 | 지역>경남,지역>대구,지역>강원 | http://biz.heraldcorp.com/view.php?ud=20220810000753

	목까지 찬 물에, 몸만 겨우…빨래도 샤워도 못하는 이재민 대피소 | 지역>경남,지역>충북,지역>강원 | http://www.hani.co.kr/arti/society/society_general/1054257.html

	폭우에 터전 잃은 판자촌·전통시장… 취약층에 더 가혹했다 |  | http://www.segye.com/content/html/2022/08/10/20220810518645.html

	서울시의회 국민의힘 서울시·시 교육청과 수해대책 긴급당정협의회 개최 | 정치>행정_자치,정치>청와대,사회>장애인 | https://view.asiae.co.kr/article/2022081019472730305

	잠시 멈춘 비에 복구 '안간힘'…"내일 더 걱정" | 지역>경남,지역>경기,지역>강원 | http://www.obsnews.co.kr/news/articleView.html?idxno=1362567

