code,name,market,job
053950,경남제약,KOSDAQ,의약품 제조업
002100,경농,KOSPI,"비료, 농약 및 살균, 살충제 제조업"
009450,경동나비엔,KOSPI,가정용 기기 제조업
267290,경동도시가스,KOSPI,연료용 가스 제조 및 배관공급업
012320,경동인베스트,KOSPI,기타 금융업
011040,경동제약,KOSDAQ,의약품 제조업
000050,경방,KOSPI,종합 소매업
214390,경보제약,KOSPI,기초 의약물질 및 생물학적 제제 제조업
012610,경인양행,KOSPI,기초 화학물질 제조업
009140,경인전자,KOSPI,전자부품 제조업
024910,경창산업,KOSDAQ,자동차 신품 부품 제조업
013580,계룡건설,KOSPI,토목 건설업
012200,계양전기,KOSPI,일반 목적용 기계 제조업
002140,고려산업,KOSPI,"곡물가공품, 전분 및 전분제품 제조업"
198440,고려시멘트,KOSDAQ,"시멘트, 석회, 플라스터 및 그 제품 제조업"
049720,고려신용정보,KOSDAQ,기타 사업지원 서비스업
010130,고려아연,KOSPI,1차 비철금속 제조업
002240,고려제강,KOSPI,1차 철강 제조업
014570,고려제약,KOSDAQ,의약품 제조업
348150,고바이오랩,KOSDAQ,자연과학 및 공학 연구개발업
098460,고영,KOSDAQ,특수 목적용 기계 제조업
035290,골드앤에스,KOSDAQ,"서적, 잡지 및 기타 인쇄물 출판업"
038530,골드퍼시픽,KOSDAQ,생활용품 도매업
900280,골든센츄리,KOSDAQ,기타 금융업
215000,골프존,KOSDAQ,소프트웨어 개발 및 공급업
121440,골프존뉴딘홀딩스,KOSDAQ,상품 중개업
183410,골프존데카,KONEX,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
366030,공구우먼,KOSDAQ,"섬유, 의복, 신발 및 가죽제품 소매업"
076340,관악산업,KONEX,기반조성 및 시설물 축조관련 전문공사업
009290,광동제약,KOSPI,의약품 제조업
014200,광림,KOSDAQ,자동차용 엔진 및 자동차 제조업
017040,광명전기,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
029480,광무,KOSDAQ,통신 및 방송 장비 제조업
017900,광전자,KOSPI,반도체 제조업
037710,광주신세계,KOSPI,종합 소매업
026910,광진실업,KOSDAQ,1차 철강 제조업
355150,교보10호스팩,KOSDAQ,기타 금융업
397880,교보11호스팩,KOSDAQ,금융 지원 서비스업
421800,교보12호스팩,KOSDAQ,금융 지원 서비스업
331520,교보9호스팩,KOSDAQ,금융 지원 서비스업
030610,교보증권,KOSPI,금융 지원 서비스업
339770,교촌에프앤비,KOSPI,음·식료품 및 담배 도매업
053270,구영테크,KOSDAQ,자동차 신품 부품 제조업
007690,국도화학,KOSPI,기초 화학물질 제조업
005320,국동,KOSPI,생활용품 도매업
001140,국보,KOSPI,도로 화물 운송업
066620,국보디자인,KOSDAQ,실내건축 및 건축마무리 공사업
043650,국순당,KOSDAQ,알코올음료 제조업
006050,국영지앤엠,KOSDAQ,유리 및 유리제품 제조업
060480,국일신동,KOSDAQ,1차 비철금속 제조업
078130,국일제지,KOSDAQ,기타 종이 및 판지 제품 제조업
307750,국전약품,KOSDAQ,의약품 제조업
002720,국제약품,KOSPI,의약품 제조업
243870,굿센,KONEX,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
035080,그래디언트,KOSDAQ,무점포 소매업
204020,그리티,KOSDAQ,봉제의복 제조업
083420,그린케미칼,KOSPI,기타 화학제품 제조업
186230,그린플러스,KOSDAQ,1차 비철금속 제조업
014530,극동유화,KOSPI,석유 정제품 제조업
900070,글로벌에스엠,KOSDAQ,기타 금융업
204620,글로벌텍스프리,KOSDAQ,금융 지원 서비스업
019660,글로본,KOSDAQ,상품 종합 도매업
014280,금강공업,KOSPI,1차 철강 제조업
053260,금강철강,KOSDAQ,1차 철강 제조업
008870,금비,KOSPI,유리 및 유리제품 제조업
001570,금양,KOSPI,기초 화학물질 제조업
002990,금호건설,KOSPI,건물 건설업
011780,금호석유,KOSPI,기초 화학물질 제조업
214330,금호에이치티,KOSPI,자동차 신품 부품 제조업
001210,금호전기,KOSPI,전구 및 조명장치 제조업
073240,금호타이어,KOSPI,고무제품 제조업
036190,금화피에스시,KOSDAQ,전기 및 통신 공사업
049080,기가레인,KOSDAQ,특수 목적용 기계 제조업
035460,기산텔레콤,KOSDAQ,통신 및 방송 장비 제조업
092440,기신정기,KOSPI,특수 목적용 기계 제조업
000270,기아,KOSPI,자동차용 엔진 및 자동차 제조업
024110,기업은행,KOSPI,은행 및 저축기관
013700,까뮤이앤씨,KOSPI,건물 건설업
308100,까스텔바작,KOSDAQ,"섬유, 의복, 신발 및 가죽제품 소매업"
004540,깨끗한나라,KOSPI,"펄프, 종이 및 판지 제조업"
187790,나노,KOSDAQ,기초 화학물질 제조업
286750,나노브릭,KOSDAQ,기초 화학물질 제조업
121600,나노신소재,KOSDAQ,기타 화학제품 제조업
247660,나노씨엠에스,KOSDAQ,전자부품 제조업
039860,나노엔텍,KOSDAQ,의료용 기기 제조업
091970,나노캠텍,KOSDAQ,플라스틱제품 제조업
244880,나눔테크,KONEX,의료용 기기 제조업
288490,나라소프트,KONEX,소프트웨어 개발 및 공급업
051490,나라엠앤디,KOSDAQ,특수 목적용 기계 제조업
137080,나래나노텍,KOSDAQ,특수 목적용 기계 제조업
190510,나무가,KOSDAQ,전자부품 제조업
242040,나무기술,KOSDAQ,소프트웨어 개발 및 공급업
089600,나스미디어,KOSDAQ,광고업
293580,나우IB,KOSDAQ,기타 금융업
257990,나우코스,KONEX,기타 화학제품 제조업
138610,나이벡,KOSDAQ,의료용품 및 기타 의약 관련제품 제조업
130580,나이스디앤비,KOSDAQ,기타 사업지원 서비스업
036800,나이스정보통신,KOSDAQ,전기 통신업
267320,나인테크,KOSDAQ,특수 목적용 기계 제조업
001260,남광토건,KOSPI,토목 건설업
008350,남선알미늄,KOSPI,1차 비철금속 제조업
004270,남성,KOSPI,기타 전문 도매업
003920,남양유업,KOSPI,낙농제품 및 식용빙과류 제조업
025860,남해화학,KOSPI,"비료, 농약 및 살균, 살충제 제조업"
111710,남화산업,KOSDAQ,스포츠 서비스업
091590,남화토건,KOSDAQ,건물 건설업
168330,내츄럴엔도텍,KOSDAQ,자연과학 및 공학 연구개발업
094860,네오리진,KOSDAQ,소프트웨어 개발 및 공급업
253590,네오셈,KOSDAQ,특수 목적용 기계 제조업
212560,네오오토,KOSDAQ,자동차 신품 부품 제조업
095660,네오위즈,KOSDAQ,소프트웨어 개발 및 공급업
042420,네오위즈홀딩스,KOSDAQ,소프트웨어 개발 및 공급업
950220,네오이뮨텍,KOSDAQ,자연과학 및 공학 연구개발업
311390,네오크레마,KOSDAQ,기타 식품 제조업
085910,네오티스,KOSDAQ,자동차 신품 부품 제조업
092730,네오팜,KOSDAQ,기타 화학제품 제조업
290660,네오펙트,KOSDAQ,의료용 기기 제조업
306620,네온테크,KOSDAQ,특수 목적용 기계 제조업
153460,네이블,KOSDAQ,소프트웨어 개발 및 공급업
007390,네이처셀,KOSDAQ,기초 의약물질 및 생물학적 제제 제조업
033640,네패스,KOSDAQ,반도체 제조업
330860,네패스아크,KOSDAQ,"그외 기타 전문, 과학 및 기술 서비스업"
005720,넥센,KOSPI,고무제품 제조업
002350,넥센타이어,KOSPI,고무제품 제조업
089140,넥스턴바이오,KOSDAQ,특수 목적용 기계 제조업
137940,넥스트아이,KOSDAQ,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
396270,넥스트칩,KOSDAQ,반도체 제조업
348210,넥스틴,KOSDAQ,특수 목적용 기계 제조업
225570,넥슨게임즈,KOSDAQ,소프트웨어 개발 및 공급업
217270,넵튠,KOSDAQ,소프트웨어 개발 및 공급업
251270,넷마블,KOSPI,소프트웨어 개발 및 공급업
317860,노드메이슨,KONEX,기타 화학제품 제조업
104620,노랑풍선,KOSDAQ,여행사 및 기타 여행보조 서비스업
090350,노루페인트,KOSPI,기타 화학제품 제조업
000320,노루홀딩스,KOSPI,기타 금융업
194700,노바렉스,KOSDAQ,기타 식품 제조업
285490,노바텍,KOSDAQ,그외 기타 제품 제조업
